run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260822_112314,nsga2,4.890338096737728,5.946356397667664,15.778393222391696,2.58641098353348e-05,3.898873375044416e-05,7.947452691513881e-06,7.757098764640686e-05,7.364544609042903e-06,9.25519791559378e-12,83.91,140.39999999999998,FAIL,,
nsga2_20260822_112314,nsga2,6.2602870198512,2.688116188274309,15.437238063909444,2.594860870172957e-05,1.18518015633358e-05,6.740812347186168e-06,7.77353064999271e-05,6.323531360003884e-06,9.255679343118123e-12,76.61,142.20000000000002,FAIL,,
nsga2_20260822_120724,nsga2,6.260932876862046,4.573177856354488,11.144556225992956,2.594860870172957e-05,6.46501469331502e-05,6.423152677606254e-06,7.839534937930412e-05,6.3239965654802855e-06,9.255679343118123e-12,83.29,48.08,FAIL,,
nsga2_20260822_120724,nsga2,6.260932876862046,10.973763011849764,11.28170877775652,2.6207059091730375e-05,6.557232202523069e-05,8.524913998356304e-06,7.545824389793044e-05,7.15364027788821e-06,8.835071576982719e-12,73.3,145.9,FAIL,,
nsga2_20260822_120724,nsga2,6.260932876862046,4.573177856354488,11.144556225992956,2.7347788188844488e-05,6.449430450987105e-05,6.802160900651692e-06,7.684363176668075e-05,6.3239965654802855e-06,9.255679343118123e-12,81.42,49.76,FAIL,,
nsga2_20260822_184355,nsga2,4.865649572846843,5.983953468395141,15.256928779970998,1.4236315271906184e-05,4.867354015083401e-05,9.817003398111766e-06,9.617722220827954e-05,7.385504437348569e-06,5.871041699926908e-12,58.71999999999999,110.9,FAIL,,
nsga2_20260825_164522,nsga2,3.334949941895178,19.375816472549985,13.497453870731777,2.158254624555722e-05,5.251688875867489e-05,8.791687481365356e-06,3.4617803499503814e-05,6.107764331752289e-06,7.1531593600558915e-12,86.75999999999999,106.2,PASS,,
nsga2_20260825_164522,nsga2,7.137690578905927,12.918178690132164,16.510423972562435,1.915847472605053e-05,9.78811640757988e-05,6.104921083600797e-06,6.0624108506836174e-05,6.560967517489156e-06,1.7967011508569826e-12,86.95,29.48,FAIL,,
nsga2_20260825_164522,nsga2,3.385019334408437,10.147310238278576,16.510423972562435,2.0360560902931413e-05,9.78811640757988e-05,6.104921083600797e-06,3.512628298713022e-05,6.107516831037472e-06,7.288078073218429e-12,83.27,108.9,FAIL,,
nsga2_20260825_164522,nsga2,4.127754008304448,19.375816472549985,13.497453870731777,2.1573854139617407e-05,9.830960415406184e-05,8.785917330972259e-06,3.4617803499503814e-05,6.107905533619925e-06,7.1531593600558915e-12,81.27,145.09999999999997,FAIL,,
nsga2_20260825_172933,nsga2,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.296794172319813e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.14,146.8,FAIL,,
nsga2_20260825_172933,nsga2,7.47999589101123,8.45544216251895,10.507625216390691,2.8572060728038622e-05,5.663386590054512e-05,7.249222842354688e-06,9.9419632469624e-05,7.6138153066220255e-06,5.414962014354169e-12,75.1125760218458,146.86340388112703,FAIL,,
nsga2_20260825_172933,nsga2,4.073056988149881,19.29285011342609,5.3008934741832245,1.045758662742996e-05,4.244440759576075e-05,6.422505592737561e-06,8.866348233211538e-05,9.281391076568462e-06,9.842575244345019e-12,87.24999999999999,112.0,PASS,,
nsga2_20260825_172933,nsga2,4.047620599041665,8.322718790462805,5.3008934741832245,1.8547375714411508e-05,4.244440759576075e-05,6.453629005866346e-06,8.941634420161448e-05,7.594249144987241e-06,5.838548541681161e-12,85.34,132.7,PASS,,
